Collection_Date_(M/D/Y),Site_Name,Latitude,Longitude,Trap_Type,ID_#,Female,Species_#,"If_4,_species?",Non-Culex_ID,Species_(Culex-centric),Reproductive_Status,Mean_Primary_EFL_(unadjusted),Mean_Primary_EFL,Diapause_Status_(D/ND/T),ID_Confidence,GDD_43210_TOSPC,#_of_Samples_in_Cell:,Field_or_Culvert
1/22/2021,Walcutt Run,40.007238,-83.139694,Aspirator,1 of them,Y,0,,Anopheles perplexens,Anopheles perplexens,,,,,,0,1.00,Culvert
1/22/2021,Walcutt Run,40.007238,-83.139694,Aspirator,1 of them,Y,0,,Anopheles perplexens,Anopheles perplexens,,,,,,0,1.00,Culvert
1/22/2021,Walcutt Run,40.007238,-83.139694,Aspirator,1 of them,Y,0,,Anopheles perplexens,Anopheles perplexens,,,,,,0,1.00,Culvert
1/22/2021,Walcutt Run,40.007238,-83.139694,Aspirator,1 of them,Y,0,,Anopheles perplexens,Anopheles perplexens,,,,,,0,1.00,Culvert
1/22/2021,Walcutt Run,40.007238,-83.139694,Aspirator,1 of them,Y,0,,Anopheles perplexens,Anopheles perplexens,,,,,,0,1.00,Culvert
1/22/2021,Walcutt Run,40.007238,-83.139694,Aspirator,1 of them,Y,0,,Anopheles perplexens,Anopheles perplexens,,,,,,0,1.00,Culvert
1/22/2021,Walcutt Run,40.007238,-83.139694,Aspirator,1 of them,Y,0,,Anopheles perplexens,Anopheles perplexens,,,,,,0,1.00,Culvert
3/27/2021,Webster Park,40.039153,-83.02442,Gravid,B1,Y,1,,,Cx. pipiens,Gravid,,,ND,,114,1.00,Field
4/2/2021,Walcutt,40.007238,-83.139694,Culvert,N1,Y,1,,,Cx. pipiens,Y,16.8,84,T,,131,1.00,Culvert
4/2/2021,Walcutt,40.007238,-83.139694,Culvert,N2,Y,2,,,Cx. restuans,Y,15.8,79,T,,131,1.00,Culvert
4/2/2021,Walcutt,40.007238,-83.139694,Culvert,N3,Y,1,,,Cx. pipiens,BF,0,0,ND,,131,1.00,Culvert
4/2/2021,Walcutt,40.007238,-83.139694,Culvert,N4,Y,1,,,Cx. pipiens,BF,0,0,ND,,131,1.00,Culvert
4/2/2021,Walcutt,40.007238,-83.139694,Culvert,N5,Y,1,,,Cx. pipiens,N,12.1,60.5,ND,,131,1.00,Culvert
4/2/2021,Walcutt,40.007238,-83.139694,Culvert,N6,Y,1,,,Cx. pipiens,Y,18.2,91,ND,,131,1.00,Culvert
4/2/2021,Walcutt,40.007238,-83.139694,Culvert,1 of them,Y,0,,An. Quadrimaticus,An. Quadrimaticus,N?,22.4,112,ND,,131,1.00,Culvert
4/2/2021,Walcutt,40.007238,-83.139694,Culvert,N8,Y,1,,,Cx. pipiens,BF,0,0,ND,,131,1.00,Culvert
4/2/2021,Walcutt,40.007238,-83.139694,Culvert,N9,Y,1,,,Cx. pipiens,Y,15.2,76,T,,131,1.00,Culvert
4/2/2021,Walcutt,40.007238,-83.139694,Culvert,N10,Y,1,,,Cx. pipiens,Y,10.6,53,D,,131,1.00,Culvert
4/2/2021,Walcutt,40.007238,-83.139694,Culvert,N11,Y,1,,,Cx. pipiens,Y,15.9,79.5,T,,131,1.00,Culvert
4/2/2021,Walcutt,40.007238,-83.139694,Culvert,N12,Y,1,,,Cx. pipiens,Y,17,85,T,,131,1.00,Culvert
4/2/2021,Walcutt,40.007238,-83.139694,Culvert,N13,Y,1,,,Cx. pipiens,Y?,19.8,99,ND,,131,1.00,Culvert
4/2/2021,Walcutt,40.007238,-83.139694,Culvert,N14,Y,1,,,Cx. pipiens,N,15.5,77.5,ND,,131,1.00,Culvert
4/2/2021,Walcutt,40.007238,-83.139694,Culvert,N15,Y,1,,,Cx. pipiens,Y,10.1,50.5,D,,131,1.00,Culvert
4/2/2021,Walcutt,40.007238,-83.139694,Culvert,N16,Y,1,,,Cx. pipiens,Y,12,60,D,,131,1.00,Culvert
4/2/2021,Walcutt,40.007238,-83.139694,Culvert,N17,Y,1,,,Cx. pipiens,Y,15.3,76.5,T,,131,1.00,Culvert
4/2/2021,Walcutt,40.007238,-83.139694,Culvert,N18,Y,1,,,Cx. pipiens,Y,12.1,60.5,D,,131,1.00,Culvert
4/2/2021,Walcutt,40.007238,-83.139694,Culvert,N19,Y,1,,,Cx. pipiens,Y,13.6,68,D,,131,1.00,Culvert
4/2/2021,Slyh,40.023797,-83.046116,Culvert,P1,Y,1,,,Cx. pipiens,N,18.6,93,ND,,131,1.00,Culvert
4/2/2021,Slyh,40.023797,-83.046116,Culvert,P2,Y,1,,,Cx. pipiens,Y,12.3,61.5,D,,131,1.00,Culvert
4/2/2021,Slyh,40.023797,-83.046116,Culvert,P3,Y,1,,,Cx. pipiens,Y,18.7,93.5,ND,,131,1.00,Culvert
4/2/2021,Slyh,40.023797,-83.046116,Culvert,P4,Y,1,,,Cx. pipiens,Y,12.3,61.5,D,,131,1.00,Culvert
4/2/2021,Slyh,40.023797,-83.046116,Culvert,P5a,Y,1,,,Cx. pipiens,Y,18.2,91,ND,,131,1.00,Culvert
4/2/2021,Slyh,40.023797,-83.046116,Culvert,P5b,Y,1,,,Cx. pipiens,N,16,80,ND,,131,1.00,Culvert
4/2/2021,Slyh,40.023797,-83.046116,Culvert,P6,Y,1,,,Cx. pipiens,Y,17.8,89,T,,131,1.00,Culvert
4/2/2021,Slyh,40.023797,-83.046116,Culvert,P7,Y,1,,,Cx. pipiens,Gravid,0,0,ND,,131,1.00,Culvert
4/2/2021,Slyh,40.023797,-83.046116,Culvert,P8,Y,1,,,Cx. pipiens,Gravid,0,0,ND,,131,1.00,Culvert
4/2/2021,Slyh,40.023797,-83.046116,Culvert,P9,Y,1,,,Cx. pipiens,Y,14.6,73,D,,131,1.00,Culvert
4/2/2021,Slyh,40.023797,-83.046116,Culvert,P10,Y,1,,,Cx. pipiens,,0,0,,,131,1.00,Culvert
4/2/2021,Slyh,40.023797,-83.046116,Culvert,P11,Y,1,,,Cx. pipiens,N?,12.5,62.5,D,,131,1.00,Culvert
4/2/2021,Slyh,40.023797,-83.046116,Culvert,P12,Y,1,,,Cx. pipiens,Y,15.7,78.5,T,,131,1.00,Culvert
4/10/2021,Storage Site,40.00041,-83.030581,Culvert,K1,Y,1,,,Cx. pipiens,BF,,,ND,,,1.00,Culvert
4/10/2021,Storage Site,40.00041,-83.030581,Culvert,K2,Y,1,,,Cx. pipiens,Gravid,,,ND,,,1.00,Culvert
4/10/2021,Storage Site,40.00041,-83.030581,Culvert,K3,Y,1,,,Cx. pipiens,Gravid,,,ND,,,1.00,Culvert
4/10/2021,Overbrook,40.047441,-83.019584,Culvert,"""3"".C1",Y,3,,,Cx. salinarius,BF,,,ND,,,1.00,Culvert
4/10/2021,Overbrook,40.047441,-83.019584,Culvert,C2,Y,2,,P territans?,Cx. restuans,Gravid,,,ND,,,1.00,Culvert
4/10/2021,Overbrook,40.047441,-83.019584,Culvert,C3,Y,1,,,Cx. pipiens,Gravid,,,ND,,,1.00,Culvert
4/10/2021,Overbrook,40.047441,-83.019584,Culvert,C4,Y,2,,P territans?,Cx. restuans,Gravid,,,ND,,,1.00,Culvert
4/10/2021,Overbrook,40.047441,-83.019584,Culvert,C5,Y,1,,,Cx. pipiens,Gravid,,,ND,,,1.00,Culvert
4/10/2021,Overbrook,40.047441,-83.019584,Culvert,C6,Y,2,,,Cx. restuans,Gravid,,,ND,,,1.00,Culvert
4/10/2021,Overbrook,40.047441,-83.019584,Culvert,C7,Y,1,,,Cx. pipiens,Gravid,,,ND,,,1.00,Culvert
4/10/2021,Overbrook,40.047441,-83.019584,Culvert,C8,Y,1,,,Cx. pipiens,Gravid,,,ND,,,1.00,Culvert
4/10/2021,Overbrook,40.047441,-83.019584,Culvert,C9,Y,1,,,Cx. pipiens,Gravid,,,ND,,,1.00,Culvert
4/10/2021,Overbrook,40.047441,-83.019584,Culvert,C10,Y,2,,P territans?,Cx. restuans,Gravid,,,ND,,,1.00,Culvert
4/10/2021,Overbrook,40.047441,-83.019584,Culvert,C11,Y,2,,P territans?,Cx. restuans,Gravid,,,ND,,,1.00,Culvert
4/10/2021,Overbrook,40.047441,-83.019584,Culvert,C12,Y,1,,,Cx. pipiens,Gravid,,,ND,,,1.00,Culvert
4/10/2021,Overbrook,40.047441,-83.019584,Culvert,C13,Y,1,,,Cx. pipiens,Gravid,,,ND,,,1.00,Culvert
4/10/2021,Overbrook,40.047441,-83.019584,Culvert,C14,Y,1,,,Cx. pipiens,Y,11.55,57.75,D,,,1.00,Culvert
4/10/2021,Overbrook,40.047441,-83.019584,Culvert,C15,Y,2,,,Cx. restuans,Gravid,,,ND,,,1.00,Culvert
4/10/2021,Overbrook,40.047441,-83.019584,Culvert,C16,Y,2,,,Cx. restuans,Gravid,,,ND,,,1.00,Culvert
4/10/2021,Cherrybottom,40.067177,-82.899804,Gravid,F1,Y,2,,,Cx. restuans,Gravid,,,ND,,,1.00,Field
4/10/2021,Cherrybottom,40.067177,-82.899804,Gravid,F2,Y,1,,,Cx. pipiens,Gravid,,,ND,,,1.00,Field
4/10/2021,Overbrook,40.046298,-83.016545,Gravid,IX.C1,Y,1,,,Cx. pipiens,Gravid,,,ND,,,1.00,Field
4/10/2021,Overbrook,40.046298,-83.016545,Gravid,C2,Y,1,,,Cx. pipiens,Gravid,,,ND,,,1.00,Field
4/10/2021,Webster,40.039153,-83.02442,Gravid,B1,Y,2,,,Cx. restuans,Gravid,,,ND,,,1.00,Field
4/10/2021,Webster,40.039153,-83.02442,Gravid,B2,Y,2,,,Cx. restuans,Gravid,,,ND,,,1.00,Field
4/10/2021,Webster,40.039153,-83.02442,Gravid,B3,Y,2,,,Cx. restuans,Gravid,,,ND,,,1.00,Field
4/10/2021,Webster,40.039153,-83.02442,Gravid,B4,Y,2,,,Cx. restuans,Gravid,,,ND,,,1.00,Field
4/10/2021,Webster,40.039153,-83.02442,Gravid,B5,Y,2,,,Cx. restuans,Gravid,,,ND,,,1.00,Field
4/10/2021,Webster,40.039153,-83.02442,Gravid,B6,Y,1,,,Cx. pipiens,Gravid,,,ND,,,1.00,Field
4/10/2021,Webster,40.039153,-83.02442,Gravid,B7,Y,1,,,Cx. pipiens,Gravid,,,ND,,,1.00,Field
4/10/2021,Webster,40.039153,-83.02442,Gravid,B8,Y,1,,,Cx. pipiens,Gravid,,,ND,,,1.00,Field
4/10/2021,Webster,40.039153,-83.02442,Gravid,B9,Y,1,,,Cx. pipiens,Gravid,,,ND,,,1.00,Field
4/10/2021,Webster,40.039153,-83.02442,Gravid,B10,Y,1,,,Cx. pipiens,Gravid,,,ND,,,1.00,Field
4/10/2021,Webster,40.039153,-83.02442,Gravid,B11,Y,1,,,Cx. pipiens,Gravid,,,ND,,,1.00,Field
4/10/2021,Webster,40.039153,-83.02442,Gravid,B12,Y,1,,,Cx. pipiens,Gravid,,,ND,,,1.00,Field
4/10/2021,Webster,40.039153,-83.02442,Gravid,B13,Y,1,,,Cx. pipiens,Gravid,,,ND,,,1.00,Field
4/10/2021,Webster,40.039153,-83.02442,Gravid,B14,Y,1,,,Cx. pipiens,Gravid,,,ND,,,1.00,Field
4/10/2021,Webster,40.039153,-83.02442,Gravid,B15,Y,1,,,Cx. pipiens,Gravid,,,ND,,,1.00,Field
4/10/2021,Webster,40.039153,-83.02442,Gravid,B16,Y,1,,,Cx. pipiens,Gravid,,,ND,,,1.00,Field
4/10/2021,Webster,40.039153,-83.02442,Gravid,B17,Y,1,,,Cx. pipiens,Gravid,,,ND,,,1.00,Field
4/18/2021,Glen Echo Park,40.019386,-82.997082,Culvert,A1,Y,2,,,Cx. restuans,Gravid,,,ND,,268,1.00,Culvert
4/18/2021,Glen Echo Park,40.019386,-82.997082,Culvert,A2,Y,4,Territans,,Cx. territans,Gravid,,,ND,,268,1.00,Culvert
4/18/2021,Glen Echo Park,40.019386,-82.997082,Culvert,A3,Y,4,Territans,,Cx. territans,BF,,,ND,,268,1.00,Culvert
4/18/2021,Woodward,40.073394,-82.98371,Culvert,L1,Y,1,,,Cx. pipiens,N?,21.4,107,ND,,268,1.00,Culvert
4/18/2021,Woodward,40.073394,-82.98371,Culvert,L2,Y,4,Territans,,Cx. territans,BF,,,ND,,268,1.00,Culvert
4/18/2021,Woodward,40.073394,-82.98371,Culvert,L3,Y,2,,,Cx. restuans,Gravid,,,ND,,268,1.00,Culvert
4/18/2021,Woodward,40.073394,-82.98371,Culvert,L4,Y,2,,,Cx. restuans,Gravid,,,ND,,268,1.00,Culvert
4/18/2021,Woodward,40.073394,-82.98371,Culvert,L5,Y,2,,,Cx. restuans,Gravid,,,ND,,268,1.00,Culvert
4/18/2021,Woodward,40.073394,-82.98371,Culvert,L6,Y,2,,,Cx. restuans,Gravid,,,ND,,268,1.00,Culvert
4/18/2021,Woodward,40.073394,-82.98371,Culvert,L7,Y,2,,,Cx. restuans,Gravid,,,ND,,268,1.00,Culvert
4/18/2021,Woodward,40.073394,-82.98371,Culvert,L8,Y,2,,,Cx. restuans,Gravid,,,ND,,268,1.00,Culvert
4/18/2021,Woodward,40.073394,-82.98371,Culvert,L9,Y,2,,,Cx. restuans,Gravid,,,ND,,268,1.00,Culvert
4/18/2021,Woodward,40.073394,-82.98371,Culvert,L10,Y,2,,,Cx. restuans,Gravid,,,ND,,268,1.00,Culvert
4/18/2021,Woodward,40.073394,-82.98371,Culvert,L11,Y,2,,,Cx. restuans,Gravid,,,ND,,268,1.00,Culvert
4/18/2021,Woodward,40.073394,-82.98371,Culvert,L12,Y,2,,,Cx. restuans,Gravid,,,ND,,268,1.00,Culvert
4/18/2021,Woodward,40.073394,-82.98371,Culvert,L13,Y,1,,,Cx. pipiens,N,20,100,ND,,268,1.00,Culvert
4/18/2021,Woodward,40.073394,-82.98371,Culvert,L14,Y,1,,,Cx. pipiens,Gravid,,,ND,,268,1.00,Culvert
4/18/2021,Woodward,40.073394,-82.98371,Culvert,L15,Y,1,,,Cx. pipiens,Gravid,,,ND,,268,1.00,Culvert
4/18/2021,Woodward,40.073394,-82.98371,Culvert,L16,Y,2,,,Cx. restuans,Gravid,,,ND,,268,1.00,Culvert
5/1/2021,Webster Park,40.039153,-83.02442,Gravid,B1,Y,2,,,Cx. restuans,Gravid,,,ND,,352,1.00,Field
5/1/2021,Webster Park,40.039153,-83.02442,Gravid,B2,Y,2,,,Cx. restuans,Gravid,,,ND,,352,1.00,Field
5/1/2021,Cherrybottom park,40.067177,-82.899804,Gravid,F?,N,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,352,1.00,Field
5/1/2021,Cherrybottom park,40.067177,-82.899804,Gravid,1 of them,N,0,,Ae. Vexans,Ae. Vexans,,,,,,352,1.00,Field
5/1/2021,Cherrybottom park,40.067177,-82.899804,Gravid,F2,Y,1,,,Cx. pipiens,Gravid,,,ND,,352,1.00,Field
5/1/2021,Maloney Park,40.003558,-82.96784,Gravid,I1,Y,2,,,Cx. restuans,Gravid,,,ND,,352,1.00,Field
5/9/2021,Cherrybottom park,40.067177,-82.899804,Resting,1 of them,N,0,,Ae. Vex,Ae. Vex,,,,,,408,1.00,Field
5/9/2021,Cherrybottom park,40.067177,-82.899804,Gravid,F2,Y,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,408,1.00,Field
5/9/2021,Cherrybottom park,40.067177,-82.899804,Gravid,F3,Y,4,Territans,,Cx. territans,BF,,,ND,,408,1.00,Field
5/9/2021,Walcutt Run,40.007238,-83.139694,Culvert,N1,y,4,Territans,,Cx. territans,Gravid,,,ND,,408,1.00,Culvert
5/9/2021,Walcutt Run,40.007238,-83.139694,Culvert,1 of them,Y,0,,An. Punct,An. Punct,Gravid,,,ND,,408,1.00,Culvert
5/9/2021,Slyh Run,40.023797,-83.046116,Culvert,P1,y,4,Territans,,Cx. territans,Gravid,,,ND,,408,1.00,Culvert
5/9/2021,Slyh Run,40.023797,-83.046116,Culvert,P3,Y,4,Territans,,Cx. territans,BF,27,135,ND,,408,1.00,Culvert
5/9/2021,Slyh Run,40.023797,-83.046116,Culvert,P2,y,4,Territans,,Cx. territans,Gravid,,,ND,,408,1.00,Culvert
5/9/2021,Slyh Run,40.023797,-83.046116,Culvert,P4,Y,4,Territans,,Cx. territans,Gravid,,,ND,,408,1.00,Culvert
5/9/2021,Slyh Run,40.023797,-83.046116,Culvert,P5,y,1,,,Cx. pipiens,Gravid,,,ND,,408,1.00,Culvert
5/9/2021,Slyh Run,40.023797,-83.046116,Culvert,P6,Y,2,,,Cx. restuans,N?,,,,,408,1.00,Culvert
5/9/2021,Slyh Run,40.023797,-83.046116,Culvert,P7,y,2,,,Cx. restuans,Gravid,,,ND,,408,1.00,Culvert
5/9/2021,Slyh Run,40.023797,-83.046116,CUlvert,P8,Y,2,,,Cx. restuans,Gravid,,,ND,,408,1.00,Culvert
5/9/2021,Slyh Run,40.023797,-83.046116,CUlvert,P9,y,2,,,Cx. restuans,Gravid,,,ND,,408,1.00,Culvert
5/9/2021,Slyh Run,40.023797,-83.046116,CUlvert,P10,Y,2,,,Cx. restuans,Y,12.3,61.5,D,,408,1.00,Culvert
5/16/2021,Glen Echo Park,40.019314,-82.999391,Resting,1 of them,Y,0,,An. barberi,An. barberi,,,,,,453,1.00,Field
5/16/2021,Glen Echo Park,40.019314,-82.999391,Resting,1 of them,Y,0,,An. barberi,An. barberi,,,,,,453,1.00,Field
5/16/2021,Webster Park,40.039153,-83.02442,Gravid,B1,Y,2,,,Cx. restuans,Gravid,,,ND,,453,1.00,Field
5/16/2021,Webster Park,40.039153,-83.02442,Gravid,B2,Y,2,,,Cx. restuans,Gravid,,,ND,,453,1.00,Field
5/16/2021,Webster Park,40.039153,-83.02442,Gravid,B3,Y,1,,,Cx. pipiens,N,18.4,92,ND,,453,1.00,Field
5/16/2021,Webster Park,40.039153,-83.02442,Gravid,B4,Y,1,,,Cx. pipiens,BF,,,ND,,453,1.00,Field
5/16/2021,Webster Park,40.039153,-83.02442,Gravid,B5,Y,1,,,Cx. pipiens,Gravid,,,ND,,453,1.00,Field
5/16/2021,Webster Park,40.039153,-83.02442,Resting,B6,Y,2,,,Cx. restuans,Gravid,,,ND,,453,1.00,Field
5/16/2021,Overbrook,40.047441,-83.019584,Culvert,C1,N,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,453,1.00,Culvert
5/16/2021,Overbrook,40.047441,-83.019584,Culvert,C2,N,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,453,1.00,Culvert
5/16/2021,Overbrook,40.047441,-83.019584,Culvert,C3,N,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,453,1.00,Culvert
5/16/2021,Overbrook,40.047441,-83.019584,Culvert,C4,N,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,453,1.00,Culvert
5/16/2021,Overbrook,40.047441,-83.019584,Culvert,C5,y,1,,,Cx. pipiens,Gravid,,,ND,,453,1.00,Culvert
5/16/2021,Chaseland,40.084603,-82.992698,Gravid,E1,Y,1,,,Cx. pipiens,Gravid,,,ND,,453,1.00,Field
5/16/2021,Cherrybottom,40.067177,-82.899804,Gravid,F1,Y,2,,,Cx. restuans,N,20.7,103.5,ND,,453,1.00,Field
5/16/2021,Cherrybottom,40.067177,-82.899804,Resting,F10,N,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,453,1.00,Field
5/16/2021,Cherrybottom,40.067177,-82.899804,Resting,F11,N,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,453,1.00,Field
5/16/2021,Cherrybottom,40.067177,-82.899804,Resting,F12,N,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,453,1.00,Field
5/16/2021,Cherrybottom,40.067177,-82.899804,Resting,F13,N,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,453,1.00,Field
5/16/2021,Cherrybottom,40.067177,-82.899804,Resting,F14,N,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,453,1.00,Field
5/16/2021,Cherrybottom,40.067177,-82.899804,Resting,F15,N,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,453,1.00,Field
5/16/2021,Cherrybottom,40.067177,-82.899804,Resting,F16,N,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,453,1.00,Field
5/16/2021,Cherrybottom,40.067177,-82.899804,Resting,F17,N,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,453,1.00,Field
5/16/2021,Cherrybottom,40.067177,-82.899804,Resting,1 of them,Y,0,,Cq. Perterbens,Cq. Perterbens,,,,,,453,1.00,Field
5/16/2021,Cherrybottom,40.067177,-82.899804,Resting,1 of them,Y,0,,Ae. Canadensis,Ae. Canadensis,,,,,,453,1.00,Field
5/16/2021,Cherrybottom,40.067177,-82.899804,Gravid,F2,Y,2,,,Cx. restuans,Gravid,,,ND,,453,1.00,Field
5/16/2021,Cherrybottom,40.067177,-82.899804,Gravid,F3,Y,4,TERRITANS,,Cx. territans,Gravid,,,ND,,453,1.00,Field
5/16/2021,Cherrybottom,40.067177,-82.899804,Resting,F4,N,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,453,1.00,Field
5/16/2021,Cherrybottom,40.067177,-82.899804,Resting,F5,N,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,453,1.00,Field
5/16/2021,Cherrybottom,40.067177,-82.899804,Resting,F6,N,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,453,1.00,Field
5/16/2021,Cherrybottom,40.067177,-82.899804,Resting,F7,N,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,453,1.00,Field
5/16/2021,Cherrybottom,40.067177,-82.899804,Resting,F8,N,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,453,1.00,Field
5/16/2021,Cherrybottom,40.067177,-82.899804,Resting,F9,N,5,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,453,1.00,Field
5/16/2021,Maloney,40.003558,-82.96784,Gravid,I1,Y,1,,,Cx. pipiens,Gravid,,,ND,,453,1.00,Field
5/16/2021,Maloney,40.003558,-82.96784,Gravid,I2,Y,2,,,Cx. restuans,Gravid,,,ND,,453,1.00,Field
5/16/2021,Storage Site,40.00041,-83.030581,Culvert,K1,Y,4,Territans,,Cx. territans,Gravid,,,ND,,453,1.00,Culvert
5/16/2021,Woodward Nature Preserve,40.073394,-82.98371,Culvert,L1,Y,2,,,Cx. restuans,Gravid,,,ND,,453,1.00,Culvert
5/16/2021,Woodward Nature Preserve,40.073394,-82.98371,Culvert,L2,Y,2,,,Cx. restuans,Gravid,,,ND,,453,1.00,Culvert
10/7/2021,A - Smith Park,40.024156,-83.046613,BG Sentinel,2 of them,Y,0,,Aedes albopictus,Aedes albopictus,,,,,,3735,2.00,Field
10/7/2021,A - Smith Park,40.024156,-83.046613,BG Sentinel,1 of them,Y,0,,Aedes misc,Aedes misc,,,,,,3735,1.00,Field
10/7/2021,B - Webster Park,40.039153,-83.02442,Gravid,B1,Y,2,,,Cx. restuans,Gravid,,,ND,,3735,1.00,Field
10/7/2021,B - Webster Park,40.039153,-83.02442,Gravid,B2,Y,2,,,Cx. restuans,Gravid,,,ND,,3735,1.00,Field
10/7/2021,B - Webster Park,40.039153,-83.02442,Gravid,B3,Y,1,,,Cx. pipiens,Gravid,,,ND,,3735,1.00,Field
10/7/2021,B - Webster Park,40.039153,-83.02442,BG,2 of them,Y,0,,Aedes japonicus,Aedes japonicus,,,,,,3735,2.00,Field
10/7/2021,B - Webster Park,40.039153,-83.02442,BG,2 of them,Y,0,,Aedes misc,Aedes misc,,,,,,3735,2.00,Field
10/7/2021,B - Webster Park,40.039153,-83.02442,BG,1 of them,Y,0,,Aedes albopictus,Aedes albopictus,,,,,,3735,1.00,Field
10/7/2021,C - Overbrook Drive,40.046298,-83.016545,BG Sentinel,3 of them,Y,0,,Aedes albopictus,Aedes albopictus,,,,,,3735,3.00,Field
10/7/2021,C - Overbrook Drive,40.046298,-83.016545,BG Sentinel,1 of them,Y,0,,Aedes vexans???,Aedes vexans???,,,,,,3735,1.00,Field
10/7/2021,C - Overbrook Drive,40.047441,-83.019584,Culvert,3 of them,Y,0,,Anopheles punctipennis???,Anopheles punctipennis???,,,,,,3735,3.00,Culvert
10/7/2021,C - Overbrook Drive,40.047441,-83.019584,Culvert,C1,Y,4,erraticus,,Cx. erraticus,Y?,8.8,44,D,,3735,1.00,Culvert
10/7/2021,C - Overbrook Drive,40.047441,-83.019584,Culvert,C2,Y,1,,,Cx. pipiens,Y,10.8,54,D,,3735,1.00,Culvert
10/7/2021,C - Overbrook Drive,40.047441,-83.019584,Culvert,C3,Y,1,,,Cx. pipiens,Y,10.2,51,D,,3735,1.00,Culvert
10/7/2021,C - Overbrook Drive,40.047441,-83.019584,Culvert,C4,Y,1,,,Cx. pipiens,Y,8.2,41,D,,3735,1.00,Culvert
10/7/2021,C - Overbrook Drive,40.047441,-83.019584,Culvert,C5,Y,4,erraticus,,Cx. erraticus,Y,6.8,34,D,,3735,1.00,Culvert
10/7/2021,C - Overbrook Drive,40.047441,-83.019584,Culvert,C6,Y,4,erraticus,,Cx. erraticus,Y,6.4,32,D,,3735,1.00,Culvert
10/7/2021,D - Antrim Park,40.081962,-83.036591,BG,1 of them,Y,0,,Aedes vexans,Aedes vexans,,,,,,3735,1.00,Field
10/7/2021,D - Antrim Park,40.081962,-83.036591,BG,1 of them,Y,0,,Aedes albopictus,Aedes albopictus,,,,,,3735,1.00,Field
10/7/2021,E - Woodward Nature Preserve,40.0735012,-82.9837972,BG,2 of them,Y,0,,Aedes vexans,Aedes vexans,,,,,,3735,2.00,Field
10/7/2021,E - Woodward Nature Preserve,40.0735012,-82.9837972,BG,1 of them,Y,0,,Aedes albopictus,Aedes albopictus,,,,,,3735,1.00,Field
10/7/2021,E - Woodward Nature Preserve,40.073394,-82.98371,Culvert,1 of them,N,0,,Anopheles,Anopheles,,,,,,3735,1.00,Culvert
10/7/2021,E - Woodward Nature Preserve,40.073394,-82.98371,Culvert,4 of them,Y,0,,Anopheles,Anopheles,,,,,,3735,4.00,Culvert
10/7/2021,E - Woodward Nature Preserve,40.073394,-82.98371,Culvert,E1,Y,4,erraticus,,Cx. erraticus,Y,6,30,D,,3735,1.00,Culvert
10/7/2021,E - Woodward Nature Preserve,40.073394,-82.98371,Culvert,E2,Y,4,erraticus,,Cx. erraticus,,,,,,3735,1.00,Culvert
10/7/2021,E - Woodward Nature Preserve,40.073394,-82.98371,Culvert,E3,Y,4,erraticus,,Cx. restuans or Cx. erraticus,Y,7.8,39,D,,3735,1.00,Culvert
10/7/2021,E - Woodward Nature Preserve,40.073394,-82.98371,Culvert,E4,Y,1,,,Cx. pipiens,Y,8,40,D,,3735,1.00,Culvert
10/7/2021,E - Woodward Nature Preserve,40.073394,-82.98371,Culvert,E5,Y,1,,,Culex,Y,16.4,82,T,,3735,1.00,Culvert
